Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,philly-covid19-load,,,,
production,re-entry-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,test-a,,,,
production,flipper,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,
production,ny-delaware-cdcms,PRODUCT,CommCare Paused Edition,True,
production,somerville-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,somerville-regional-phdms
production,ny-albany-cdcms,PRODUCT,CommCare Paused Edition,True,
production,partnerships-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ccc-chc-ruwoyd-2024-25,PRODUCT,CommCare Paused Edition,,
production,experimentations-ma,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
